id,ticker,holding_type,asset_type,quantity,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,option_type,strike_price,expiration_date,entry_date,entry_signal,entry_rationale,stop_loss_price,target_price,created_at,updated_at
15,ORCL,long_term,stock,47.000000,146.1400,142.6499,6704.55,-164.03,-0.0239,,,,2026-02-25 14:00:28.505899+00,13f_strong_buy,,135.9102,,2026-02-25 14:00:28.505899+00,2026-04-02 14:03:53.195656+00
17,LLY,long_term,stock,7.000000,917.2800,953.2250,6672.57,251.61,0.0392,,,,2026-03-19 14:00:25.930283+00,13f_strong_buy,,853.0704,,2026-03-19 14:00:25.930283+00,2026-04-02 14:03:53.195656+00
10,GOOGL,long_term,stock,22.000000,310.9600,293.8700,6465.14,-375.98,-0.0550,,,,2026-02-12 00:30:52.957956+00,13f_strong_buy,,289.1928,,2026-02-12 00:30:52.957956+00,2026-04-02 14:03:53.195656+00
16,AVGO,long_term,stock,21.000000,317.5300,306.8800,6444.48,-223.65,-0.0335,,,,2026-03-05 14:00:29.6206+00,13f_strong_buy,,295.3029,,2026-03-05 14:00:29.6206+00,2026-04-02 14:03:53.195656+00
14,AMP,swing,stock,14.000000,467.3000,468.7800,6562.92,20.72,0.0032,,,,2026-02-13 14:01:21.824524+00,trend_break_bullish,,434.5890,,2026-02-13 14:01:21.824524+00,2026-02-18 14:01:18.595316+00
7,KLAC,swing,stock,4.000000,1430.8400,1469.9000,5879.60,156.24,0.0273,,,,2026-02-11 14:01:19.321654+00,trend_break_bullish,,1330.6812,,2026-02-11 14:01:19.321654+00,2026-02-20 14:00:45.592111+00
4,CMI,swing,stock,8.000000,577.7300,595.6600,4765.28,143.44,0.0310,,,,2026-02-09 02:00:13.040063+00,trend_break_bullish,,537.2889,,2026-02-09 02:00:13.040063+00,2026-02-18 14:01:18.595316+00
3,CAT,swing,stock,6.000000,726.2000,764.7600,4588.56,231.36,0.0531,,,,2026-02-09 02:00:13.031945+00,trend_break_bullish,,675.3660,,2026-02-09 02:00:13.031945+00,2026-02-18 14:01:18.595316+00
5,DPZ,swing,stock,12.000000,394.8800,373.5000,4482.00,-256.56,-0.0541,,,,2026-02-09 02:00:13.055525+00,trend_break_bullish,,367.2384,,2026-02-09 02:00:13.055525+00,2026-02-18 14:01:18.595316+00
2,BLK,swing,stock,4.000000,1056.3800,1072.6700,4290.68,65.16,0.0154,,,,2026-02-09 02:00:13.022929+00,trend_break_bullish,,982.4334,,2026-02-09 02:00:13.022929+00,2026-02-18 14:01:18.595316+00
6,FICO,swing,stock,3.000000,1391.0000,1351.6000,4054.80,-118.20,-0.0283,,,,2026-02-09 02:00:13.070216+00,trend_break_bullish,,1293.6300,,2026-02-09 02:00:13.070216+00,2026-02-18 14:01:18.595316+00
