id,signal_id,ticker,signal_type,signal_strength,suggested_action,holding_type,asset_type,signal_price,source_report_id,source_data,status,processed_at,rejection_reason,generated_at,expires_at,created_at
7,03165351-0b60-48ac-8e55-21b5b41ed8c0,DPZ,trend_break_bullish,1.0000,buy,swing,stock,394.8800,,"{""break_id"": 534739, ""magnitude"": 11.28, ""break_type"": ""trough"", ""volume_ratio"": 2.0083}",processed,2026-02-09 02:00:13.068003+00,,2026-02-09 02:00:10.519128+00,2026-02-10 02:00:10.549731+00,2026-02-09 02:00:10.519128+00
8,7dfbacc9-9727-49b4-869c-af882d6f0220,FICO,trend_break_bullish,1.0000,buy,swing,stock,1391.0000,,"{""break_id"": 696641, ""magnitude"": 41.04, ""break_type"": ""trough"", ""volume_ratio"": 1.5375}",processed,2026-02-09 02:00:13.078142+00,,2026-02-09 02:00:10.519128+00,2026-02-10 02:00:10.550148+00,2026-02-09 02:00:10.519128+00
9,9b32600c-6773-4851-ae0e-4971a71ea1f0,KLAC,trend_break_bullish,1.0000,buy,swing,stock,1442.9500,,"{""break_id"": 978593, ""magnitude"": 12.78, ""break_type"": ""trough"", ""volume_ratio"": 0.3875}",rejected,2026-02-09 02:00:13.080255+00,Would exceed swing allocation limit,2026-02-09 02:00:10.519128+00,2026-02-10 02:00:10.550517+00,2026-02-09 02:00:10.519128+00
3,4203291e-5b5a-4322-9758-dc83408fe0a6,BLK,trend_break_bullish,1.0000,buy,swing,stock,1056.3800,,"{""break_id"": 259994, ""magnitude"": 17.8, ""break_type"": ""trough"", ""volume_ratio"": 1.9895}",processed,2026-02-09 02:00:13.029673+00,,2026-02-09 02:00:10.519128+00,2026-02-10 02:00:10.546111+00,2026-02-09 02:00:10.519128+00
4,f4c92f75-0638-4630-89d5-7f6ce9a6aab8,CAT,trend_break_bullish,1.0000,buy,swing,stock,726.2000,,"{""break_id"": 301210, ""magnitude"": 16.38, ""break_type"": ""trough"", ""volume_ratio"": 0.8609}",processed,2026-02-09 02:00:13.037995+00,,2026-02-09 02:00:10.519128+00,2026-02-10 02:00:10.546553+00,2026-02-09 02:00:10.519128+00
1,ad66213e-06e3-4553-a40e-edecc6a6b286,AMP,trend_break_bullish,1.0000,buy,swing,stock,542.9900,,"{""break_id"": 124739, ""magnitude"": 11.17, ""break_type"": ""trough"", ""volume_ratio"": 0.3084}",processed,2026-02-09 02:00:13.020019+00,,2026-02-09 02:00:10.519128+00,2026-02-10 02:00:10.518916+00,2026-02-09 02:00:10.519128+00
6,68eb8a64-55d9-4fa9-823d-2370f7903f53,CMI,trend_break_bullish,1.0000,buy,swing,stock,577.7300,,"{""break_id"": 379190, ""magnitude"": 13.14, ""break_type"": ""trough"", ""volume_ratio"": 0.6043}",processed,2026-02-09 02:00:13.05269+00,,2026-02-09 02:00:10.519128+00,2026-02-10 02:00:10.549271+00,2026-02-09 02:00:10.519128+00
2,1b10fe1c-8f5f-4edf-b139-897c4c3814fa,BKNG,trend_break_bearish,1.0000,sell,swing,stock,4457.1699,,"{""break_id"": 249711, ""magnitude"": 12.71, ""break_type"": ""peak"", ""volume_ratio"": 0.3876}",rejected,2026-02-10 20:52:58.003877+00,No position held to sell,2026-02-09 02:00:10.519128+00,2026-02-10 02:00:10.545478+00,2026-02-09 02:00:10.519128+00
5,527a512b-de15-467c-896b-90ef82865d2d,CEG,trend_break_bearish,1.0000,sell,swing,stock,261.4200,,"{""break_id"": 326705, ""magnitude"": 10.82, ""break_type"": ""peak"", ""volume_ratio"": 1.1279}",rejected,2026-02-10 20:52:58.003877+00,No position held to sell,2026-02-09 02:00:10.519128+00,2026-02-10 02:00:10.548757+00,2026-02-09 02:00:10.519128+00
10,634d38ed-183f-4ed2-84f1-5dffd44c7656,SNPS,trend_break_bearish,1.0000,sell,swing,stock,426.8800,,"{""break_id"": 1517497, ""magnitude"": 10.98, ""break_type"": ""peak"", ""volume_ratio"": 1.6181}",rejected,2026-02-10 20:52:58.003877+00,No position held to sell,2026-02-09 02:00:10.519128+00,2026-02-10 02:00:10.550879+00,2026-02-09 02:00:10.519128+00
15,2124f6d8-0757-4804-ac3b-b3cfd65bb187,CEG,trend_break_bearish,1.0000,sell,swing,stock,272.1500,,"{""break_id"": 326705, ""magnitude"": 10.82, ""break_type"": ""peak"", ""volume_ratio"": 1.1279}",rejected,2026-02-10 20:52:58.003877+00,No position held to sell,2026-02-10 14:01:23.996653+00,2026-02-11 14:01:24.015554+00,2026-02-10 14:01:23.996653+00
11,f0996e24-7d41-41f4-9781-591dfad068eb,AMP,trend_break_bullish,1.0000,buy,swing,stock,539.1100,,"{""break_id"": 124739, ""magnitude"": 11.17, ""break_type"": ""trough"", ""volume_ratio"": 0.3084}",rejected,2026-02-10 14:01:26.305972+00,"Position too large: max 5.0% = $5000.00, would be $9738.90",2026-02-10 14:01:23.996653+00,2026-02-11 14:01:23.996433+00,2026-02-10 14:01:23.996653+00
