id,transaction_id,ticker,action,holding_type,asset_type,quantity,price,total_value,commission,option_type,strike_price,expiration_date,signal_source,signal_details,realized_pnl,realized_pnl_pct,executed_at,created_at
1,afffdb5d-3c5e-48c1-81d0-8e9b8e8d1285,AMP,buy,swing,stock,9.000000,542.9900,4886.91,0.00,,,,trend_break_bullish,"{""break_id"": 124739, ""magnitude"": 11.17, ""break_type"": ""trough"", ""volume_ratio"": 0.3084}",,,2026-02-09 02:00:12.950714+00,2026-02-09 02:00:12.950714+00
2,3de999b3-1b5d-4a2a-be71-cf41ede435fc,BLK,buy,swing,stock,4.000000,1056.3800,4225.52,0.00,,,,trend_break_bullish,"{""break_id"": 259994, ""magnitude"": 17.8, ""break_type"": ""trough"", ""volume_ratio"": 1.9895}",,,2026-02-09 02:00:13.022929+00,2026-02-09 02:00:13.022929+00
3,1e562489-9bbc-4432-afc5-c57e9f6bdfb0,CAT,buy,swing,stock,6.000000,726.2000,4357.20,0.00,,,,trend_break_bullish,"{""break_id"": 301210, ""magnitude"": 16.38, ""break_type"": ""trough"", ""volume_ratio"": 0.8609}",,,2026-02-09 02:00:13.031945+00,2026-02-09 02:00:13.031945+00
4,c5d91e7c-1149-42d5-996e-169550412798,CMI,buy,swing,stock,8.000000,577.7300,4621.84,0.00,,,,trend_break_bullish,"{""break_id"": 379190, ""magnitude"": 13.14, ""break_type"": ""trough"", ""volume_ratio"": 0.6043}",,,2026-02-09 02:00:13.040063+00,2026-02-09 02:00:13.040063+00
5,0da56d15-cadc-4498-8ad6-46937320f8b4,DPZ,buy,swing,stock,12.000000,394.8800,4738.56,0.00,,,,trend_break_bullish,"{""break_id"": 534739, ""magnitude"": 11.28, ""break_type"": ""trough"", ""volume_ratio"": 2.0083}",,,2026-02-09 02:00:13.055525+00,2026-02-09 02:00:13.055525+00
6,05940031-9788-4ba7-b807-1d725df41316,FICO,buy,swing,stock,3.000000,1391.0000,4173.00,0.00,,,,trend_break_bullish,"{""break_id"": 696641, ""magnitude"": 41.04, ""break_type"": ""trough"", ""volume_ratio"": 1.5375}",,,2026-02-09 02:00:13.070216+00,2026-02-09 02:00:13.070216+00
7,f0a465f6-e4e6-46bd-b6b3-2448026a1138,KLAC,buy,swing,stock,4.000000,1430.8400,5723.36,0.00,,,,trend_break_bullish,"{""break_id"": 978593, ""magnitude"": 12.78, ""break_type"": ""trough"", ""volume_ratio"": 0.3875}",,,2026-02-11 14:01:19.321654+00,2026-02-11 14:01:19.321654+00
8,115f6092-da14-43bf-8087-eb92bfcd0110,NVDA,buy,long_term,stock,36.000000,190.0500,6841.80,0.00,,,,13f_strong_buy,"{""funds_buying"": 8, ""funds_selling"": 2, ""report_quarter"": ""Q4 2024"", ""net_shares_change"": 101824132, ""institutional_value"": 295193000341.0, ""institutional_sentiment"": 1.2}",,,2026-02-12 00:30:52.917841+00,2026-02-12 00:30:52.917841+00
9,7461be28-1e17-4b4d-a332-a84e47f50342,AVGO,buy,long_term,stock,20.000000,342.7600,6855.20,0.00,,,,13f_strong_buy,"{""funds_buying"": 7, ""funds_selling"": 1, ""report_quarter"": ""Q4 2024"", ""net_shares_change"": 456438592, ""institutional_value"": 110736055545.0, ""institutional_sentiment"": 1.5}",,,2026-02-12 00:30:52.950983+00,2026-02-12 00:30:52.950983+00
10,dfdfbd63-d868-4d3d-b6f4-9e532eca99f9,GOOGL,buy,long_term,stock,22.000000,310.9600,6841.12,0.00,,,,13f_strong_buy,"{""funds_buying"": 10, ""funds_selling"": 2, ""report_quarter"": ""Q4 2024"", ""net_shares_change"": 17683799, ""institutional_value"": 97132427810.0, ""institutional_sentiment"": 1.333333}",,,2026-02-12 00:30:52.957956+00,2026-02-12 00:30:52.957956+00
11,1dc381a3-b765-4c52-becd-30ae948224d3,LLY,buy,long_term,stock,6.000000,1015.2100,6091.26,0.00,,,,13f_strong_buy,"{""funds_buying"": 8, ""funds_selling"": 1, ""report_quarter"": ""Q4 2024"", ""net_shares_change"": 4964231, ""institutional_value"": 59042787431.0, ""institutional_sentiment"": 1.4}",,,2026-02-12 00:30:52.963118+00,2026-02-12 00:30:52.963118+00
12,06750454-d894-4620-917a-5339a0fb9244,ORCL,buy,long_term,stock,44.000000,157.1600,6915.04,0.00,,,,13f_strong_buy,"{""funds_buying"": 5, ""funds_selling"": 1, ""report_quarter"": ""Q4 2024"", ""net_shares_change"": 1247165, ""institutional_value"": 26245872156.0, ""institutional_sentiment"": 2.0}",,,2026-02-12 00:30:52.968929+00,2026-02-12 00:30:52.968929+00
