indicator,5min_composite,5min_direction,5min_crossover,5min_lookback,1hour_composite,1hour_direction,1hour_crossover,1hour_lookback,daily_composite,daily_direction,daily_crossover,daily_lookback,best_timeframe,best_score,optimal_horizon
CCI,0.4891575,0.97645,0.0,1,0.491608125,0.98309375,0.0,1,0.49551436341471033,0.9915038604607546,0.0,2,daily,0.49551436341471033,UNIVERSAL
TLEV,0.41692312499999995,0.8073,0.7026,13,0.411073125,0.81013125,0.64255,13,0.4317107936607171,0.8513269357006659,0.6987152636679066,13,daily,0.4317107936607171,UNIVERSAL
Stoch,0.322671875,0.3494625,0.9202875,13,0.3228015625,0.35051875,0.91440625,13,0.33956487762183113,0.3670532337219843,0.9492794848551155,13,daily,0.33956487762183113,UNIVERSAL
MACD,0.3081159375,0.5660375,0.43130625,13,0.3179221875,0.59108125,0.4437125,13,0.33324091150636115,0.61861148448001,0.48774967959738674,13,daily,0.33324091150636115,UNIVERSAL
ROC,0.22532437499999997,0.49890625,0.0,1,0.24287343749999998,0.5594625,0.0,2,0.3049448282329405,0.7665655965740364,0.0,3,daily,0.3049448282329405,LONG-TERM
TSI,0.289070625,0.71315625,0.0,1,0.29739375,0.74170625,0.0,2,0.30029164452502266,0.7518489575193023,0.0,8,daily,0.30029164452502266,UNIVERSAL
PSAR,0.1652503125,0.03245,0.54546875,13,0.23529937499999998,0.2594875,0.557275,13,0.2923900472007752,0.45540933387515237,0.5428776843487231,13,daily,0.2923900472007752,LONG-TERM
AccDist,0.271291875,0.76880625,0.0,1,0.2713115625,0.81083125,0.0,1,0.23698227626519958,0.6635241161576694,0.0,1,1hour,0.2713115625,SHORT-TERM
Aroon,0.25641187499999996,0.38261875,0.4529875,13,0.2585925,0.40376875,0.42555625,13,0.2670666750023444,0.409971554499703,0.4636178925322747,13,daily,0.2670666750023444,UNIVERSAL
OBV,0.2633971875,0.494,0.0,1,0.26173499999999994,0.4969125,0.0,3,0.25719202275640024,0.49537057297364884,0.0,8,5min,0.2633971875,UNIVERSAL
CMF,0.23955374999999998,0.5475,0.0,1,0.23205750000000003,0.5234625,0.0,1,0.25353380638304523,0.5946422431308805,0.0,3,daily,0.25353380638304523,UNIVERSAL
RSI,0.23058874999999998,0.61958125,0.0,1,0.24835843750000003,0.652625,0.0,3,0.23853552561657965,0.6311024975774436,0.0,3,1hour,0.24835843750000003,UNIVERSAL
MFI,0.23254624999999998,0.7091875,0.0,1,0.221401875,0.68708125,0.0,3,0.2420099402957082,0.7269857147322685,0.0,2,daily,0.2420099402957082,UNIVERSAL
Williams,0.19696687499999999,0.36010625,0.0,5,0.20018937499999997,0.36590625,0.0,1,0.21420399487355818,0.3840955268669313,0.0,1,daily,0.21420399487355818,UNIVERSAL
PPO,0.1088184375,0.00523125,0.22416875,13,0.12563625,0.05928125,0.22730625,13,0.19130099090369168,0.2724641305367135,0.23277796880372606,13,daily,0.19130099090369168,LONG-TERM
ADX,0.1534246875,0.40603125,0.0,1,0.15414187499999998,0.38328125,0.0,1,0.15721327873464414,0.4130536713450658,0.0,1,daily,0.15721327873464414,UNIVERSAL
BB,0.104345625,0.3478125,0.0,5,0.10650562499999999,0.35501875,0.0,1,0.1144306211121878,0.38108843112125285,0.0,1,daily,0.1144306211121878,UNIVERSAL
Donchian,0.10766437499999999,0.35888125,0.0,5,0.109074375,0.36358125,0.0,1,0.11432840486386796,0.3810946828795599,0.0,1,daily,0.11432840486386796,UNIVERSAL
Keltner,0.097273125,0.32424375,0.0,5,0.103965,0.34655,0.0,1,0.1106148604294958,0.3687162014316527,0.0,1,daily,0.1106148604294958,UNIVERSAL
SMA,0.078241875,0.0,0.02993125,13,0.0782015625,0.0,0.029225,13,0.08059704291832077,0.0,0.04008627426463693,13,daily,0.08059704291832077,UNIVERSAL
EMA,0.0751621875,0.0,0.0,1,0.0748696875,0.0,0.0,2,0.07481197836891626,0.0,0.0,3,5min,0.0751621875,UNIVERSAL
Ultimate,0.036404375,0.08085625,0.0,8,0.04475,0.098575,0.0,1,0.0616010753024288,0.1225719733675096,0.0,1,daily,0.0616010753024288,LONG-TERM
Choppiness,0.039609375,0.08288125,0.0,5,0.047264999999999995,0.0934125,0.0,1,0.055965740364477504,0.11649526429308243,0.0,3,daily,0.055965740364477504,LONG-TERM
VolPrice,0.0,,,1,0.0,,,1,0.0,,,1,5min,0.0,UNIVERSAL
